check_test,accession_name,rep_1,rep_2
test,C39,1,1
test,C413,1,1
test,CM7788A-10,1,1
test,CM7788A-14,2,2
test,CM7788A-15,1,1
test,CM7788A-2,1,1
test,CM7788A-3,1,1
test,CM7788A-7,1,1
test,CM7788A-9,1,1
test,COL1722,1,1
test,COL1752,3,3
test,COL2215_is_Venezolana,1,1
test,CUB46,1,1
test,GM13168B-17,1,1
test,GM13168B-19,1,1
test,GM13168B-20,1,1
test,GM13168B-23,1,1
test,GM13625B-10,1,1
test,GM13625B-8,1,1
test,GM13676B-11,1,1
test,GM13676B-12,1,1
test,GM13676B-13,1,1
test,GM13676B-16,1,1
test,GM13676B-9,1,1
test,GM13677A-10,1,1
test,GM13677A-12,2,3
test,GM13677A-6,1,1
test,GM13860A-11,1,1
test,GM13860A-1,3,3
test,GM13860A-13,1,1
test,GM13860A-14,1,1
test,GM13860A-2,1,1
test,GM13860A-6,1,1
test,GM13924B-2,1,1
test,GM13924B-4,2,2
test,GM13924B-5,1,1
test,GM13924B-7,2,2
test,GM13925A-14,5,5
test,GM13925A-19,3,3
test,GM13925A-2,1,1
test,GM13925A-7,1,1
test,GM13925A-8,1,1
test,GM13994A-2,1,1
test,GM13994A-3,1,1
test,GM13994A-7,1,1
test,GM13995A-12,1,1
test,GM13995A-2,2,3
test,GM13995A-3,1,1
test,GM13995A-7,4,4
test,GM13995A-9,1,1
test,GM14033A-4,1,1
test,GM14033A-8,1,1
test,GM14033A-9,3,3
test,GM14037A-3,1,1
test,GM14039A-10,1,1
test,GM14039A-12,1,1
test,GM14039A-14,1,1
test,GM14039A-15,1,1
test,GM14039A-1,2,2
test,GM14039A-4,1,1
test,GM14039A-5,1,1
test,GM14039A-6,1,1
test,GM14039A-7,1,1
test,GM14039A-8,1,1
test,GM14039A-9,1,1
test,GM14041B-12,1,1
test,GM14041B-3,1,1
test,GM14041B-4,1,1
test,GM14041B-5,1,1
test,GM14041B-9,1,1
test,GM14042A-13,1,1
test,GM14042A-15,1,1
test,GM14042A-2,1,1
test,GM14042A-5,1,1
test,GM14042A-8,4,4
test,GM14045A-1,1,1
test,GM14045A-13,3,3
test,GM14045A-19,1,1
test,GM14045A-20,2,3
test,GM14045A-22,1,1
test,GM14045A-25,1,1
test,GM14045A-26,1,1
test,GM14045A-6,1,1
test,GM14047A-13,1,1
test,GM14047A-14,1,1
test,GM14047A-23,1,1
test,GM14047A-25,1,1
test,GM14047A-3,1,1
test,GM14047A-4,1,1
test,GM14047A-5,1,1
test,GM14047A-6,1,1
test,GM14047A-7,1,1
test,GM14047A-8,1,1
test,GM14059B-11,1,1
test,GM14059B-12,3,3
test,GM14059B-15,1,1
test,GM14059B-2,1,1
test,GM14059B-9,1,1
test,GM14067A-10,1,1
test,GM14067A-11,1,1
test,GM14067A-13,1,1
test,GM14067A-14,1,1
test,GM14067A-20,1,1
test,GM14067A-5,1,1
test,GM14067A-6,1,1
test,GM14067A-7,1,1
test,GM14067A-8,1,1
test,GM14067A-9,1,1
test,GM14067B-24,3,3
test,GM14067B-25,1,1
test,GM14067B-26,1,1
test,GM14067B-27,1,1
test,GM14067B-33,1,1
test,GM14069B-2,1,1
test,GM14069B-8,3,3
test,GM14070B-2,1,1
test,GM14071B-10,1,NA
test,GM14071B-6,1,1
test,GM14077A-11,5,5
test,GM14077A-15,1,1
