"Date of Download: 2023-05-16_16:57:23"
"Search Parameters: Data Level:all  Trait List:  Trial List:9827,10416,9775,10793,11237  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 12|boiling time 20 minutes|COMP:0000287","Change in weight after boiling computation percentage|month 12|boiling time 30 minutes|COMP:0000288","branching angle in degrees|CO_334:0002082","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plot","3922377","202177DVGST_momi_rep1_C19_340","1","1","340","11","20","test","","","","90","3","","32.2344906699296","","85","15.7967032967033","5.75","","3","1","","7","6","4","4","220","20","3","3","1","4","2","3600","331","","3","1","3","2","1"," (Operator: lizbethpino, Time: ), Pt5 (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","2451612","C243","","plot","3922368","202177DVGST_momi_rep1_C243_89","1","1","89","3","25","test","","","","90","5","","33.834738771769","","50","26.9230769230769","9.8","","3","1","","19","6","4","4","160","20","4","3","1","3","3","4850","486","","4","2","3","2","3"," (Operator: lizbethpino, Time: ), Pt4 (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1284475","C33","","plot","3921824","202177DVGST_momi_rep1_C33_79","1","1","79","3","15","test","","","","90","5","","32.5147032067318","","65","24.3131868131868","8.85","","3","1","","10","8","4","3","200","30","4","3","1","3","1","4850","453","","4","1","2","2","2"," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","2451613","C39","","plot","3922244","202177DVGST_momi_rep1_C39_387","1","1","387","13","3","test","","","","90","4","","29.4678676039836","","95","48.2142857142857","17.55","","4","1","","18","10","4","2","250","30","4","3","1","3","2","3700","286","","4","2","3","1","2"," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","2451614","C413","","plot","3921909","202177DVGST_momi_rep1_C413_44","1","1","44","2","21","test","","","","90","2","","34.4008045977012","","155","26.2362637362637","9.55","","4","1","","20","8","4","3","220","20","4","3","1","3","3","4850","500","","4","3","3","2","1","Comp_flower:Pt2:Non-br (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","139257","CG1141-1","","plot","3922220","202177DVGST_momi_rep1_CG1141-1_178","1","1","178","6","15","check","","","","0","0","","36.0312133072407","","180","26.2362637362637","9.55","","4","1","","8","8","4","2","180","50","4","3","1","4","1","3450","384","","4","1","1","1","1"," (Operator: lizbethpino, Time: ), Pt1:Leafy:Good (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","139257","CG1141-1","","plot","3922570","202177DVGST_momi_rep1_CG1141-1_8","1","1","8","1","8","check","","","","85","1","","33.9574142724745","","130","26.7857142857143","9.75","","4","1","","13","8","4","1","230","20","4","3","1","3","2","4800","484","","4","1","3","1","1"," (Operator: lizbethpino, Time: ), Pt1 (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","140879","CM2766-5","","plot","3921905","202177DVGST_momi_rep1_CM2766-5_376","1","1","376","12","9","test","","","","90","3","","30.4194209499024","","100","33.9285714285714","12.35","","4","1","","17","10","4","2","250","20","4","3","2","3","2","3350","276","","4","2","3","1","1"," (Operator: lizbethpino, Time: ), Pt2:NonLeaf (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","139268","CM4919-1","","plot","3921871","202177DVGST_momi_rep1_CM4919-1_243","1","1","243","8","14","test","","","","0","0","","35.2318649712383","","200","37.9120879120879","13.8","","3","1","","21","8","4","2","200","40","4","3","1","2","2","3700","397","","4","1","3","1","4"," (Operator: lizbethpino, Time: ), Pt1 (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","139268","CM4919-1","","plot","3921913","202177DVGST_momi_rep1_CM4919-1_398","1","1","398","13","14","check","","","","0","0","","33.699187432286","","230","45.1923076923077","16.45","","4","1","","23","8","4","1","230","40","4","3","1","2","2","4100","408","","4","1","3","1","4"," (Operator: lizbethpino, Time: ), Pt1 (Operator: lizbethpino, Time: )"
