"Date of Download: 2023-06-28_16:49:24"
"Search Parameters: Data Level:all  Trait List:  Trial List:11001  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant stands harvested counting|CO_334:0000010","red spider mite severity : visual 1-5|CO_334:0000044","root color visual rating 1-3|CO_334:0000221","root evaluation scaled 1-5|CO_334:0000228","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","1166603","C19","","plot","5347667","202258DVGST_ciat_rep1_C19_624","1","1","624","20","17","test","","8.46172078691634","21.0476416212373","0.8298738","0.7166271","4","42.6886139","25","1","4","1","5","4","2","","3","3","0","5","","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","2451612","C243","","plot","5348335","202258DVGST_ciat_rep1_C243_197","1","1","197","7","5","test","","","","0.9082651","0.5760625","3","41.9485474","45","1","4","1","5","5","2","","3","3","3","5","","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","1284475","C33","","plot","5347929","202258DVGST_ciat_rep1_C33_278","1","1","278","9","22","test","","","","0.4207202","0.3791481","3","39.3708076","20","1","4","1","5","4","2","","3","3","18","5","","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","2451613","C39","","plot","5348159","202258DVGST_ciat_rep1_C39_759","1","1","759","24","10","test","","","","","","4","","35","1","3","1","5","5","2","","2","5","0","5","","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","2451614","C413","","plot","5347754","202258DVGST_ciat_rep1_C413_616","1","1","616","20","25","test","","6.62251655629139","15.364238410596","1.0030156","0.4817753","3","37.8730469","25","1","2","2","5","5","2","","3","3","0","5","","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5347727","202258DVGST_ciat_rep1_CG1141-1_182","1","1","182","6","11","check","","","","0.3831286","0.2322762","3","40.1007805","35","1","4","2","5","4","2","2","3","4","0","5","","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5347825","202258DVGST_ciat_rep1_CG1141-1_258","1","1","258","9","2","check","","","","1.3415704","1.1506519","3","36.2442665","105","1","4","1","5","3","2","","3","4","0","5","","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5347947","202258DVGST_ciat_rep1_CG1141-1_269","1","1","269","9","13","check","","3.64297498400729","9.75724723073298","1.0519654","0.484327","4","38.7589264","35","1","3","1","5","4","2","","3","4","2","5","","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5347994","202258DVGST_ciat_rep1_CG1141-1_300","1","1","300","10","21","check","","","","0.4349","0.1239395","4","38.5411949","75","1","3","3","5","4","2","","3","4","6","5","","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11001","202258DVGST_ciat","202258DVGST_ciat","Augmented","1.2","4","","no","no","2022-July-27","2023-June-07","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5348142","202258DVGST_ciat_rep1_CG1141-1_349","1","1","349","11","29","check","","","","","","3","","70","1","4","1","5","3","2","","3","5","0","5","","2"," (Operator: lizbethpino, Time: )"
