"Date of Download: 2023-06-26_17:11:16"
"Search Parameters: Data Level:all  Trait List:  Trial List:11053  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant stands harvested counting|CO_334:0000010","red spider mite severity : visual 1-5|CO_334:0000044","root color visual rating 1-3|CO_334:0000221","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","1166603","C19","","plot","5376031","202271DVGST_ciat_rep1_C19_97","1","1","97","6","12","test","","10.7","24.4","0.6","0.6","4","40.6","35","1","3","1","5","4","2","2","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2451612","C243","","plot","5375945","202271DVGST_ciat_rep1_C243_207","1","1","207","12","10","test","","","","","","3","","40","1","3","1","5","5","2","1","2","5","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","1284475","C33","","plot","5375780","202271DVGST_ciat_rep1_C33_198","1","1","198","11","18","test","","4.6","7.2","0.9","0.3","4","39.3","40","1","3","1","5","4","2","2","3","4","","1","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2451613","C39","","plot","5375726","202271DVGST_ciat_rep1_C39_406","1","1","406","23","10","test","","","","","","3","","55","","2","2","5","5","2","2","","5","","","2","1",""," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2451614","C413","","plot","5375766","202271DVGST_ciat_rep1_C413_331","1","1","331","19","7","test","","","","0.8","0.5","3","41.1","60","1","3","1","5","5","2","2","3","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5375654","202271DVGST_ciat_rep1_CG1141-1_214","1","1","214","12","3","check","","","","","","3","","150","1","3","2","5","4","2","2","3","5","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5376002","202271DVGST_ciat_rep1_CG1141-1_245","1","1","245","14","8","check","","","","","","2","","105","1","3","1","5","4","2","2","2","5","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5375900","202271DVGST_ciat_rep1_CG1141-1_287","1","1","287","16","2","check","","","","1","0.4","3","44.5","115","1","3","1","5","5","2","2","3","3","","0","5","1","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5375877","202271DVGST_ciat_rep1_CG1141-1_318","1","1","318","18","7","check","","","","1.1","0.7","3","37.6","125","1","3","1","5","5","2","2","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5375779","202271DVGST_ciat_rep1_CG1141-1_328","1","1","328","19","4","check","","","","1.1","0.7","3","41.5","125","1","3","1","5","3","2","3","2","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5375904","202271DVGST_ciat_rep1_CG1141-1_391","1","1","391","22","6","check","","","","1.3","0.5","2","38.9","105","","3","1","5","3","2","3","3","5","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5375881","202271DVGST_ciat_rep1_CG1141-1_410","1","1","410","23","14","check","","","","1","0.7","3","39.8","80","","3","1","5","4","2","3","2","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5375660","202271DVGST_ciat_rep1_CG1141-1_68","1","1","68","4","5","check","","","","1.1","0.8","3","44.3","90","1","3","1","5","3","2","2","3","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","140879","CM2766-5","","plot","5375643","202271DVGST_ciat_rep1_CM2766-5_396","1","1","396","22","1","test","","4.4","10.1","0.1","0.6","3","30.8","50","","2","1","5","5","2","2","3","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5375742","202271DVGST_ciat_rep1_CM4919-1_141","1","1","141","8","4","check","","4","10.7","3.6","1.8","3","39.2","100","2","3","1","5","2","2","2","3","3","","0","5","1","4"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5375715","202271DVGST_ciat_rep1_CM4919-1_172","1","1","172","10","9","check","","","","2.5","1.4","3","33.6","125","1","3","1","5","3","2","2","3","4","","1","5","1","3"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5376042","202271DVGST_ciat_rep1_CM4919-1_186","1","1","186","11","6","check","","","","0.4","","3","20.5","115","1","3","1","5","3","2","2","2","4","","2","5","1","3"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5375941","202271DVGST_ciat_rep1_CM4919-1_339","1","1","339","19","15","check","","","","2.8","1.2","1","34.5","160","1","4","1","5","2","2","2","3","3","","2","5","1","3"," (Operator: lizbethpino, Time: )"
