"Date of Download: 2026-07-14_20:11:57"
"Search Parameters: Data Level:all  Trait List:  Trial List:9827,10416,9775  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 12|boiling time 20 minutes|COMP:0000287","Change in weight after boiling computation percentage|month 12|boiling time 30 minutes|COMP:0000288","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching angle in degrees|CO_334:0002082","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","hydrogen cyanide ug/g wet basis|month 12|COMP:0000324","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plot","3922377","202177DVGST_momi_rep1_C19_340","1","1","340","11","20","test","","","","","","90","3","","32.2344906699296","","85","15.7967032967033","5.75","","","3","1","","7","6","4","4","220","20","3","3","1","4","2","3600","331","","3","1","3","2","1"," (Operator: lizbethpino, Time: ), Pt5 (Operator: lizbethpino, Time: )"
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plant","3922671","202177DVGST_momi_rep1_C19_340_plant_1","1","1","340","11","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plant","3922672","202177DVGST_momi_rep1_C19_340_plant_2","1","1","340","11","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plant","3922673","202177DVGST_momi_rep1_C19_340_plant_3","1","1","340","11","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plant","3922674","202177DVGST_momi_rep1_C19_340_plant_4","1","1","340","11","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plant","3922675","202177DVGST_momi_rep1_C19_340_plant_5","1","1","340","11","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plant","3922676","202177DVGST_momi_rep1_C19_340_plant_6","1","1","340","11","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plant","3922677","202177DVGST_momi_rep1_C19_340_plant_7","1","1","340","11","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","1166603","C19","","plant","3922678","202177DVGST_momi_rep1_C19_340_plant_8","1","1","340","11","20","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","174","CIAT","CIAT cassava breeding, Cali, Colombia","9775","202177DVGST_momi","202177DVGST_momi","RCBD","1.3","2.8","","no","no","2021-July-03","2022-March-30","127","Momil. Cordoba, Colombia","2451612","C243","","plot","3922368","202177DVGST_momi_rep1_C243_89","1","1","89","3","25","test","","","","","","90","5","","33.834738771769","","50","26.9230769230769","9.8","","","3","1","","19","6","4","4","160","20","4","3","1","3","3","4850","486","","4","2","3","2","3"," (Operator: lizbethpino, Time: ), Pt4 (Operator: lizbethpino, Time: )"
